y(keV/um)    e-           Zprim            Hsec            He           Li           Be           B            C            Other        Total[yd(y)]
1.0610e-01   0.0000e+00   0.0000e+00   -nan   -nan   -nan   -nan   -nan   -nan   -nan   0.0000e+00   
1.1905e-01   1.9981e-03   0.0000e+00   2.8342e+178   1.2557e+256   2.3495e+198   7.5187e+240   4.1110e+159   2.3437e+198   3.5885e+193   2.7414e-03   
1.3357e-01   0.0000e+00   0.0000e+00   -nan   -nan   -nan   -nan   -nan   -nan   -nan   0.0000e+00   
1.4987e-01   0.0000e+00   0.0000e+00   -nan   -nan   -nan   -nan   -nan   -nan   -nan   0.0000e+00   
1.6816e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
1.8868e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
2.1170e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
2.3753e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
2.6651e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
2.9903e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
3.3552e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
3.7646e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
4.2240e-01   2.8613e-03   0.0000e+00   6.8656e-03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   9.7269e-03   
4.7394e-01   6.4652e-03   0.0000e+00   1.5362e-02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   2.1828e-02   
5.3176e-01   4.2036e-03   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   1.2245e-02   
5.9665e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
6.6945e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
7.5114e-01   4.5248e-03   0.0000e+00   1.2772e-02   0.0000e+00   0.0000e+00   1.4891e-320   0.0000e+00   0.0000e+00   0.0000e+00   1.7297e-02   
8.4279e-01   5.1732e-03   0.0000e+00   1.4235e-02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   1.9408e-02   
9.4563e-01   5.9835e-02   0.0000e+00   1.7970e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   2.3953e-01   
1.0610e+00   6.0442e-01   0.0000e+00   1.5225e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   2.1990e+00   
1.1905e+00   9.7122e-01   0.0000e+00   1.8530e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   1.2612e-05   2.8785e+00   
1.3357e+00   4.7760e-01   0.0000e+00   6.9249e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   4.1385e-03   1.2304e+00   
1.4987e+00   6.2917e-02   0.0000e+00   7.5133e-02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   1.3805e-01   
1.6816e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
1.8868e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
2.1170e+00   8.6217e-02   0.0000e+00   1.5182e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   1.2527e-05   2.9250e-01   
2.3753e+00   3.2298e-01   0.0000e+00   4.9741e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   9.2987e-01   
2.6651e+00   9.6869e-02   0.0000e+00   1.2996e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   2.4549e-01   
2.9903e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
3.3552e+00   4.5586e-02   0.0000e+00   1.0894e-01   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   1.5453e-01   
3.7646e+00   3.1807e-02   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   8.6691e-02   
4.2240e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00   
