# MKM Parameters
#
# Alpha0 = 0.19 Gy-1
# Beta = 0.05 Gy-2
# AlphaX = 0.19 Gy-1 Reference radiation
# Domain Radius = 0.44 um
# Nucleus Radius = 8 um
#
# Dose[Gy], Survival, SurvivalStd, RBE, RBEStd
2.0000000, 0.3635914, 0.0000000, 1.4915410, 0.0000000
5.0000000, 0.0384476, 0.0000000, 1.2786642, 0.0000000
8.0000000, 0.0017082, 0.0000000, 1.1934972, 0.0000000
