# MKM Parameters
#
# Alpha0 = 0.19 Gy-1
# Beta = 0.05 Gy-2
# AlphaX = 0.19 Gy-1 Reference radiation
# Domain Radius = 0.44 um
# Nucleus Radius = 8 um
#
# Dose[Gy], Survival, SurvivalStd, RBE, RBEStd
2.0000000, 0.4216331, 0.0000000, 1.3348630, 0.0000000
5.0000000, 0.0551659, 0.0000000, 1.1891806, 0.0000000
8.0000000, 0.0029927, 0.0000000, 1.1309029, 0.0000000
